Force,Distance,Time,Event,
N,mm,min,,

Sample 1
-0.5585,0.0000,0.00000,0,
-0.5585,0.0000,0.00017,0,
-0.5585,0.0000,0.00033,0,
-0.5585,0.0000,0.00050,0,
-0.5585,0.0000,0.00067,0,
-0.5585,0.0000,0.00083,0,
-0.5585,0.0000,0.00100,0,
-0.5585,0.0000,0.00117,0,
-0.5585,0.0000,0.00133,0,
-0.5585,0.0000,0.00150,0,
-0.5585,0.0000,0.00167,0,
-0.5585,0.0000,0.00183,0,
-0.5585,0.0000,0.00200,0,
-0.5585,0.0000,0.00217,0,
-0.5585,0.0000,0.00233,0,
-0.5585,-0.0025,0.00250,0,
-0.7446,-0.0200,0.00267,0,
-1.0797,-0.0450,0.00283,0,
-1.4147,-0.0750,0.00300,0,
-1.7498,-0.1050,0.00317,0,
-2.0477,-0.1375,0.00333,0,
-2.3455,-0.1700,0.00350,0,
-2.7178,-0.2050,0.00367,0,
-3.0529,-0.2425,0.00383,0,
-3.3879,-0.2825,0.00400,0,
-3.7602,-0.3225,0.00417,0,
-4.1325,-0.3625,0.00433,0,
-4.5048,-0.4050,0.00450,0,
-4.8771,-0.4500,0.00467,0,
-5.2494,-0.4950,0.00483,0,
-5.6217,-0.5400,0.00500,0,
-5.9940,-0.5875,0.00517,0,
-6.3291,-0.6375,0.00533,0,
-6.6270,-0.6875,0.00550,0,
-6.9620,-0.7400,0.00567,0,
-7.4088,-0.7925,0.00583,0,
-7.8555,-0.8450,0.00600,0,
-8.2651,-0.9000,0.00617,0,
-8.6746,-0.9550,0.00633,0,
-9.1214,-1.0125,0.00650,0,
-9.5681,-1.0675,0.00667,0,
-10.0521,-1.1275,0.00683,0,
-10.4989,-1.1850,0.00700,0,
-10.9829,-1.2450,0.00717,0,
-11.5041,-1.3050,0.00733,0,
-12.0998,-1.3650,0.00750,0,
-12.6582,-1.4275,0.00767,0,
-13.2539,-1.4900,0.00783,0,
-13.9985,-1.5525,0.00800,0,
-14.6687,-1.6175,0.00817,0,
-15.4133,-1.6800,0.00833,0,
-16.1206,-1.7450,0.00850,0,
-16.8280,-1.8100,0.00867,0,
-17.4237,-1.8775,0.00883,0,
-18.0938,-1.9425,0.00900,0,
-18.8384,-2.0100,0.00917,0,
-19.4341,-2.0775,0.00933,0,
-20.1042,-2.1475,0.00950,0,
-20.4765,-2.2150,0.00967,0,
-21.1467,-2.2850,0.00983,0,
-21.5934,-2.3550,0.01000,0,
-22.0774,-2.4250,0.01017,0,
-22.4870,-2.4950,0.01033,0,
-22.9710,-2.5650,0.01050,0,
-23.4177,-2.6375,0.01067,0,
-23.9762,-2.7100,0.01083,0,
-24.4229,-2.7825,0.01100,0,
-24.9069,-2.8550,0.01117,0,
