Force,Distance,Time,Event,
N,mm,min,,

Sample 2
-0.3351,0.0000,0.00000,0,
-0.3351,0.0000,0.00017,0,
-0.3351,0.0000,0.00033,0,
-0.3351,0.0000,0.00050,0,
-0.3351,0.0000,0.00067,0,
-0.3351,0.0000,0.00083,0,
-0.3351,0.0000,0.00100,0,
-0.3351,0.0000,0.00117,0,
-0.3351,0.0000,0.00133,0,
-0.3351,0.0000,0.00150,0,
-0.3351,0.0000,0.00167,0,
-0.3351,0.0000,0.00183,0,
-0.3351,0.0000,0.00200,0,
-0.3351,0.0000,0.00217,0,
-0.3351,0.0000,0.00233,0,
-0.3351,-0.0025,0.00250,0,
-0.4840,-0.0150,0.00267,0,
-0.7446,-0.0400,0.00283,0,
-1.0052,-0.0650,0.00300,0,
-1.3775,-0.0925,0.00317,0,
-1.8243,-0.1225,0.00333,0,
-2.3827,-0.1550,0.00350,0,
-3.0901,-0.1875,0.00367,0,
-3.8719,-0.2225,0.00383,0,
-4.6910,-0.2575,0.00400,0,
-5.4356,-0.2950,0.00417,0,
-6.0313,-0.3350,0.00433,0,
-6.4780,-0.3775,0.00450,0,
-6.9993,-0.4200,0.00467,0,
-7.5577,-0.4625,0.00483,0,
-8.3768,-0.5075,0.00500,0,
-9.3820,-0.5550,0.00517,0,
-10.5361,-0.6025,0.00533,0,
-11.7275,-0.6525,0.00550,0,
-12.9188,-0.7025,0.00567,0,
-14.0730,-0.7525,0.00583,0,
-15.3388,-0.8050,0.00600,0,
-16.4929,-0.8600,0.00617,0,
-17.4609,-0.9125,0.00633,0,
-18.6523,-0.9700,0.00650,0,
-19.6947,-1.0250,0.00667,0,
-21.0350,-1.0825,0.00683,0,
-22.2636,-1.1400,0.00700,0,
-23.5666,-1.2000,0.00717,0,
-24.6463,-1.2600,0.00733,0,
-25.3537,-1.3200,0.00750,0,
-26.2844,-1.3825,0.00767,0,
-27.1407,-1.4450,0.00783,0,
-27.9598,-1.5075,0.00800,0,
-28.8905,-1.5700,0.00817,0,
-29.7468,-1.6350,0.00833,0,
-30.5287,-1.7000,0.00850,0,
-30.9754,-1.7650,0.00867,0,
-31.5711,-1.8300,0.00883,0,
-32.2785,-1.8975,0.00900,0,
-33.0603,-1.9625,0.00917,0,
-33.7677,-2.0325,0.00933,0,
-34.5495,-2.1000,0.00950,0,
-35.4058,-2.1675,0.00967,0,
-35.8898,-2.2375,0.00983,0,
-36.3738,-2.3075,0.01000,0,
-36.7833,-2.3775,0.01017,0,
-37.1929,-2.4475,0.01033,0,
-37.6768,-2.5175,0.01050,0,
-37.6768,-2.5900,0.01067,0,
-38.1981,-2.6600,0.01083,0,
-38.6448,-2.7325,0.01100,0,
-38.9799,-2.8050,0.01117,0,
