Force,Distance,Time,Event,
N,mm,min,,

Sample 2
-0.0745,0.0000,0.00000,0,
-0.0745,0.0000,0.00017,0,
-0.0745,0.0000,0.00033,0,
-0.0745,0.0000,0.00050,0,
-0.0745,0.0000,0.00067,0,
-0.0745,0.0000,0.00083,0,
-0.0745,0.0000,0.00100,0,
-0.0745,0.0000,0.00117,0,
-0.0745,0.0000,0.00133,0,
-0.0745,0.0000,0.00150,0,
-0.0745,0.0000,0.00167,0,
-0.0745,0.0000,0.00183,0,
-0.0745,0.0000,0.00200,0,
-0.0745,0.0000,0.00217,0,
-0.0745,-0.0025,0.00233,0,
-0.1117,-0.0125,0.00250,0,
-0.2606,-0.0325,0.00267,0,
-0.4468,-0.0600,0.00283,0,
-0.5957,-0.0875,0.00300,0,
-0.8191,-0.1175,0.00317,0,
-1.0052,-0.1475,0.00333,0,
-1.2286,-0.1800,0.00350,0,
-1.4147,-0.2150,0.00367,0,
-1.7498,-0.2525,0.00383,0,
-2.1966,-0.2900,0.00400,0,
-2.6433,-0.3300,0.00417,0,
-3.1646,-0.3725,0.00433,0,
-3.7602,-0.4150,0.00450,0,
-4.4304,-0.4575,0.00467,0,
-5.1750,-0.5025,0.00483,0,
-6.1057,-0.5500,0.00500,0,
-6.9248,-0.6000,0.00517,0,
-7.5205,-0.6475,0.00533,0,
-8.1534,-0.6975,0.00550,0,
-9.0469,-0.7500,0.00567,0,
-10.1266,-0.8025,0.00583,0,
-11.5413,-0.8575,0.00600,0,
-13.2167,-0.9125,0.00617,0,
-15.3388,-0.9675,0.00633,0,
-17.8332,-1.0250,0.00650,0,
-20.5138,-1.0825,0.00667,0,
-23.3805,-1.1400,0.00683,0,
-26.4334,-1.2000,0.00700,0,
-29.7468,-1.2600,0.00717,0,
-33.2465,-1.3200,0.00733,0,
-36.9322,-1.3825,0.00750,0,
-40.7669,-1.4450,0.00767,0,
-44.6761,-1.5075,0.00783,0,
-48.7342,-1.5700,0.00800,0,
-52.8667,-1.6350,0.00817,0,
-56.9993,-1.7000,0.00833,0,
-61.2435,-1.7650,0.00850,0,
-65.4505,-1.8300,0.00867,0,
-69.6203,-1.8975,0.00883,0,
-73.8273,-1.9625,0.00900,0,
-77.9970,-2.0300,0.00917,0,
-82.2785,-2.0975,0.00933,0,
-86.5972,-2.1675,0.00950,0,
-90.8042,-2.2350,0.00967,0,
-94.8995,-2.3050,0.00983,0,
-98.8086,-2.3750,0.01000,0,
-102.6433,-2.4450,0.01017,0,
-106.2174,-2.5150,0.01033,0,
-109.5681,-2.5875,0.01050,0,
-112.8072,-2.6575,0.01067,0,
-115.9345,-2.7300,0.01083,0,
-118.8384,-2.8025,0.01100,0,
-121.4445,-2.8750,0.01117,0,
